,,,,,
,country,Lithuania,Italy,Ireland,Cyprus
Energy,min,139.15,142.2,151,127.77
,std,6.32,5.3,1.47,3.91
,mean,144.87,148.35,153.1,131.78
,max,155.91,156.9,155.4,137.54
,delta,16.76,14.7,4.4,9.77
Services,min,170.81,117.5,128.9,117.31
,std,4.24,1.98,2.14,3.78
,mean,177.14,120,132.59,121.87
,max,182.31,122.6,135.1,128.32
,delta,11.5,5.1,6.2,11.01
Food,min,167.15,132.6,112.3,124.9
,std,3.09,1.13,1.87,1.27
,mean,173.08,134.63,115.02,126.73
,max,175.62,135.9,117.2,128.53
,delta,8.47,3.3,4.9,3.63
Transporting,min,137.6,122.4,118.1,108.03
,std,2.13,0.86,2.04,2.46
,mean,140.66,123.5,122.62,110.56
,max,144.53,125.3,125.3,115.77
,delta,6.93,2.9,7.2,7.74
Housing,min,159.15,141.2,161,139.37
,std,3.46,3,1.43,2.65
,mean,162.39,144.48,163.2,142.26
,max,168.38,150.4,166.3,145.5
,delta,9.23,9.2,5.3,6.13
